case,candidates,searchers,accuracy,feasible_signature_count,signature_profile_count,raw_profile_count,optimum_fraction,direct_fraction,territorial_fraction,pooled_fraction,signature_tie_count,reconciled_raw_tie_count,raw_tie_count,all_evaluators_match,raw_ties_reconciled,normalization_exact
M2_N2_p1-4,2,2,1/4,4,10,10,1,7/16,1,1,1,1,1,True,True,True
M2_N2_p1-2,2,2,1/2,4,10,10,1,3/4,1,1,1,1,1,True,True,True
M2_N2_p3-4,2,2,3/4,4,10,10,1,15/16,1,1,1,1,1,True,True,True
M2_N4_p1-2,2,4,1/2,4,35,35,1,15/16,1,1,10,10,10,True,True,True
M2_N4_p3-4,2,4,3/4,4,35,35,1,255/256,1,1,10,10,10,True,True,True
M2_N4_p9-10,2,4,9/10,4,35,35,1,9999/10000,1,1,10,10,10,True,True,True
M3_N2_p1-3,3,2,1/3,26,351,378,2/3,5/9,2/3,2/3,21,21,21,True,True,True
M3_N2_p2-5,3,2,2/5,26,351,378,7/10,16/25,2/3,73/100,6,6,6,True,True,True
M3_N2_p7-15,3,2,7/15,26,351,378,11/15,161/225,2/3,59/75,6,6,6,True,True,True
M3_N2_p1-2,3,2,1/2,26,351,378,3/4,3/4,2/3,13/16,10,10,10,True,True,True
M3_N2_p2-3,3,2,2/3,26,351,378,8/9,8/9,2/3,11/12,1,1,1,True,True,True
M3_N2_p4-5,3,2,4/5,26,351,378,24/25,24/25,2/3,97/100,1,1,1,True,True,True
M3_N3_p1-3,3,3,1/3,26,3276,3654,1,19/27,1,1,1,1,1,True,True,True
M3_N3_p1-2,3,3,1/2,26,3276,3654,1,7/8,1,1,1,1,1,True,True,True
M3_N3_p2-3,3,3,2/3,26,3276,3654,1,26/27,1,1,1,1,1,True,True,True
M3_N3_p4-5,3,3,4/5,26,3276,3654,1,124/125,1,1,1,1,1,True,True,True
M4_N2_p1-4,4,2,1/4,160,12880,32896,1/2,7/16,1/2,1/2,510,906,906,True,True,True
M4_N2_p3-10,4,2,3/10,160,12880,32896,8/15,51/100,1/2,127/225,39,60,60,True,True,True
M4_N2_p13-40,4,2,13/40,160,12880,32896,11/20,871/1600,1/2,119/200,39,60,60,True,True,True
M4_N2_p1-2,4,2,1/2,160,12880,32896,3/4,3/4,1/2,7/9,1,1,1,True,True,True
M4_N2_p3-4,4,2,3/4,160,12880,32896,15/16,15/16,1/2,17/18,1,1,1,True,True,True
