candidates,region,accuracy,direct,territorial,hybrid,winners
3,lower-boundary,1/3,5/9,2/3,2/3,territorial|one-reroute-hybrid
3,hybrid-interior,5/12,95/144,2/3,17/24,one-reroute-hybrid
3,upper-boundary,1/2,3/4,2/3,3/4,direct|one-reroute-hybrid
3,direct-interior,3/4,15/16,2/3,7/8,direct
4,lower-boundary,1/4,7/16,1/2,1/2,territorial|one-reroute-hybrid
4,hybrid-interior,7/24,287/576,1/2,19/36,one-reroute-hybrid
4,upper-boundary,1/3,5/9,1/2,5/9,direct|one-reroute-hybrid
4,direct-interior,2/3,8/9,1/2,7/9,direct
5,lower-boundary,1/5,9/25,2/5,2/5,territorial|one-reroute-hybrid
5,hybrid-interior,9/40,639/1600,2/5,67/160,one-reroute-hybrid
5,upper-boundary,1/4,7/16,2/5,7/16,direct|one-reroute-hybrid
5,direct-interior,5/8,55/64,2/5,23/32,direct
6,lower-boundary,1/6,11/36,1/3,1/3,territorial|one-reroute-hybrid
6,hybrid-interior,11/60,1199/3600,1/3,26/75,one-reroute-hybrid
6,upper-boundary,1/5,9/25,1/3,9/25,direct|one-reroute-hybrid
6,direct-interior,3/5,21/25,1/3,17/25,direct
7,lower-boundary,1/7,13/49,2/7,2/7,territorial|one-reroute-hybrid
7,hybrid-interior,13/84,2015/7056,2/7,149/504,one-reroute-hybrid
7,upper-boundary,1/6,11/36,2/7,11/36,direct|one-reroute-hybrid
7,direct-interior,7/12,119/144,2/7,47/72,direct
8,lower-boundary,1/8,15/64,1/4,1/4,territorial|one-reroute-hybrid
8,hybrid-interior,15/112,3135/12544,1/4,101/392,one-reroute-hybrid
8,upper-boundary,1/7,13/49,1/4,13/49,direct|one-reroute-hybrid
8,direct-interior,4/7,40/49,1/4,31/49,direct
