graph_id,canonical_label,sources,edges,source_hhi,effective_sources,mean_pair_source_overlap,mean_pair_agreement,private_discovery,consensus_discovery,planner_discovery,planner_two_discovery,expected_distinct_private_actions,all_reports_equal_probability
G00,K1N4:1111,1,4,1,1,1,1,2/3,2/3,1,5/6,1,1
G01,K2N4:00011110,2,4,5/8,8/5,1/2,3/4,8/9,2/3,1,11/12,3/2,1/2
G02,K2N4:00011111,2,5,17/25,25/17,1,7/8,7/9,2/3,1,11/12,5/4,1/2
G03,K2N4:00111100,2,4,1/2,2,1/3,2/3,8/9,2/3,1,11/12,3/2,1/2
G04,K2N4:00111101,2,5,13/25,25/13,2/3,17/24,8/9,2/3,1,11/12,3/2,1/2
G05,K2N4:00111111,2,6,5/9,9/5,7/6,19/24,5/6,2/3,1,11/12,11/8,1/2
G06,K2N4:01111011,2,6,1/2,2,1,17/24,8/9,2/3,1,11/12,3/2,1/2
G07,K2N4:01111111,2,7,25/49,49/25,3/2,3/4,31/36,2/3,1,11/12,23/16,1/2
G08,K2N4:11111111,2,8,1/2,2,2,3/4,31/36,2/3,1,11/12,23/16,1
G09,K3N4:000100011110,3,5,11/25,25/11,1/2,3/4,8/9,2/3,1,67/72,3/2,11/36
G10,K3N4:000100011111,3,6,1/2,2,1,187/216,68/81,2/3,1,67/72,137/108,25/36
G11,K3N4:000100101100,3,4,3/8,8/3,1/6,7/12,26/27,13/18,1,67/72,65/36,11/36
G12,K3N4:000100101101,3,5,11/25,25/11,1/2,2/3,25/27,2/3,1,67/72,119/72,11/36
G13,K3N4:000100101111,3,6,1/2,2,1,37/48,23/27,2/3,1,67/72,209/144,11/36
G14,K3N4:000100111100,3,5,9/25,25/9,1/3,5/8,25/27,7/9,1,67/72,119/72,11/36
G15,K3N4:000100111101,3,6,7/18,18/7,2/3,151/216,73/81,13/18,1,67/72,83/54,1/2
G16,K3N4:000100111110,3,6,7/18,18/7,2/3,11/16,49/54,13/18,1,67/72,227/144,11/36
G17,K3N4:000100111111,3,7,3/7,7/3,7/6,169/216,47/54,2/3,1,67/72,101/72,1/2
G18,K3N4:000101101010,3,5,9/25,25/9,1/3,7/12,26/27,7/9,1,67/72,65/36,11/36
G19,K3N4:000101101011,3,6,7/18,18/7,2/3,31/48,25/27,13/18,1,67/72,119/72,11/36
G20,K3N4:000101101110,3,6,7/18,18/7,2/3,5/8,17/18,13/18,1,67/72,83/48,11/36
G21,K3N4:000101101111,3,7,3/7,7/3,7/6,17/24,8/9,2/3,1,67/72,149/96,11/36
G22,K3N4:000101111011,3,7,19/49,49/19,1,151/216,73/81,7/9,1,67/72,83/54,1/2
G23,K3N4:000101111110,3,7,19/49,49/19,1,2/3,11/12,7/9,1,67/72,155/96,11/36
G24,K3N4:000101111111,3,8,13/32,32/13,3/2,20/27,287/324,13/18,1,67/72,635/432,1/2
G25,K3N4:000111101110,3,7,19/49,49/19,1,5/8,17/18,7/9,1,67/72,83/48,11/36
G26,K3N4:000111101111,3,8,13/32,32/13,3/2,11/16,65/72,13/18,1,67/72,19/12,1/2
G27,K3N4:000111111111,3,9,11/27,27/11,2,20/27,287/324,7/9,1,67/72,635/432,1/2
G28,K3N4:001100111100,3,6,1/3,3,1/2,5/8,25/27,7/9,1,67/72,119/72,11/36
G29,K3N4:001100111101,3,7,17/49,49/17,5/6,151/216,73/81,7/9,1,67/72,83/54,11/36
G30,K3N4:001100111111,3,8,3/8,8/3,4/3,131/162,208/243,13/18,1,67/72,427/324,25/36
G31,K3N4:001101011001,3,6,1/3,3,1/2,133/216,26/27,7/9,1,67/72,65/36,11/36
G32,K3N4:001101011010,3,6,1/3,3,1/2,29/48,17/18,7/9,1,67/72,83/48,11/36
G33,K3N4:001101011011,3,7,17/49,49/17,5/6,71/108,151/162,7/9,1,67/72,361/216,11/36
G34,K3N4:001101011110,3,7,17/49,49/17,5/6,31/48,25/27,7/9,1,67/72,119/72,11/36
G35,K3N4:001101011111,3,8,3/8,8/3,4/3,311/432,73/81,13/18,1,67/72,83/54,11/36
G36,K3N4:001101111011,3,8,11/32,32/11,7/6,235/324,221/243,7/9,1,67/72,253/162,1/2
G37,K3N4:001101111100,3,7,17/49,49/17,5/6,5/8,101/108,7/9,1,67/72,487/288,11/36
G38,K3N4:001101111101,3,8,11/32,32/11,7/6,293/432,11/12,7/9,1,67/72,77/48,11/36
G39,K3N4:001101111111,3,9,29/81,81/29,5/3,497/648,143/162,7/9,1,67/72,311/216,1/2
G40,K3N4:001111001111,3,8,3/8,8/3,4/3,2/3,197/216,13/18,1,67/72,467/288,1/2
G41,K3N4:001111011101,3,8,11/32,32/11,7/6,71/108,151/162,7/9,1,67/72,361/216,11/36
G42,K3N4:001111011110,3,8,11/32,32/11,7/6,31/48,25/27,7/9,1,67/72,119/72,11/36
G43,K3N4:001111011111,3,9,29/81,81/29,5/3,151/216,589/648,7/9,1,67/72,1357/864,11/36
G44,K3N4:001111111111,3,10,9/25,25/9,13/6,497/648,143/162,7/9,1,67/72,311/216,1/2
G45,K3N4:011101111011,3,9,1/3,3,3/2,235/324,221/243,7/9,1,67/72,253/162,11/36
G46,K3N4:011101111111,3,10,17/50,50/17,2,179/216,632/729,7/9,1,67/72,1313/972,25/36
G47,K3N4:011110111101,3,9,1/3,3,3/2,293/432,11/12,7/9,1,67/72,77/48,11/36
G48,K3N4:011110111111,3,10,17/50,50/17,2,967/1296,871/972,7/9,1,67/72,1945/1296,11/36
G49,K3N4:011111111111,3,11,41/121,121/41,5/2,179/216,632/729,7/9,1,67/72,1313/972,1/2
G50,K3N4:111111111111,3,12,1/3,3,3,25/27,605/729,7/9,1,67/72,281/243,1
