partition_id,partition,anonymous_symmetric,best_pure,worst_pure,uniform_potential_maximum,uniform_strict_best_response_basin,planner,potential_tied_profile_count,potential_multiple_discovery_values,basin_branch_dependent
P00,"0,1,2,3",5/9,2/3,2/3,2/3,2/3,2/3,6,False,False
P01,"0,1,2|3",299/535,3/4,3/4,3/4,3/4,3/4,4,False,False
P02,"0,1,3|2",5/9,2/3,2/3,2/3,2/3,2/3,12,False,False
P03,"0,1|2,3",171/308,3/4,3/4,3/4,3/4,3/4,4,False,False
P04,"0,1|2|3",2219/3960,3/4,3/4,3/4,3/4,3/4,10,False,False
P05,"0,2,3|1",389/672,19/24,19/24,19/24,19/24,19/24,4,False,False
P06,"0,2|1,3",405/704,19/24,19/24,19/24,19/24,19/24,4,False,False
P07,"0,2|1|3",1341/2240,5/6,5/6,5/6,5/6,5/6,6,False,False
P08,"0,3|1,2",26/45,19/24,19/24,19/24,19/24,19/24,4,False,False
P09,"0|1,2,3",89/156,19/24,17/24,55/72,55/72,19/24,5,True,True
P10,"0|1,2|3",107/180,5/6,3/4,29/36,29/36,5/6,7,True,True
P11,"0,3|1|2",1471/2520,19/24,19/24,19/24,19/24,19/24,10,False,False
P12,"0|1,3|2",457/792,19/24,17/24,55/72,55/72,19/24,11,True,True
P13,"0|1|2,3",25/42,5/6,3/4,29/36,29/36,5/6,7,True,True
P14,0|1|2|3,1513/2520,5/6,3/4,29/36,29/36,5/6,13,True,True
