agents,private_accuracy,shared_accuracy,attenders_before_switch,private_attention_value,social_attention_value,attention_wedge
2,1/3,1/3,0,0,0,0
2,1/3,1/3,1,-1/9,-2/9,1/9
2,1/3,1/2,0,5/36,1/9,1/36
2,1/3,1/2,1,0,-1/6,1/6
2,1/3,2/3,0,5/18,2/9,1/18
2,1/3,2/3,1,1/9,-1/9,2/9
2,1/3,3/4,0,25/72,5/18,5/72
2,1/3,3/4,1,1/6,-1/12,1/4
2,1/3,5/6,0,5/12,1/3,1/12
2,1/3,5/6,1,2/9,-1/18,5/18
2,1/2,1/3,0,-1/8,-1/12,-1/24
2,1/2,1/3,1,-1/4,-1/3,1/12
2,1/2,1/2,0,0,0,0
2,1/2,1/2,1,-1/8,-1/4,1/8
2,1/2,2/3,0,1/8,1/12,1/24
2,1/2,2/3,1,0,-1/6,1/6
2,1/2,3/4,0,3/16,1/8,1/16
2,1/2,3/4,1,1/16,-1/8,3/16
2,1/2,5/6,0,1/4,1/6,1/12
2,1/2,5/6,1,1/8,-1/12,5/24
2,2/3,1/3,0,-2/9,-1/9,-1/9
2,2/3,1/3,1,-7/18,-4/9,1/18
2,2/3,1/2,0,-1/9,-1/18,-1/18
2,2/3,1/2,1,-1/4,-1/3,1/12
2,2/3,2/3,0,0,0,0
2,2/3,2/3,1,-1/9,-2/9,1/9
2,2/3,3/4,0,1/18,1/36,1/36
2,2/3,3/4,1,-1/24,-1/6,1/8
2,2/3,5/6,0,1/9,1/18,1/18
2,2/3,5/6,1,1/36,-1/9,5/36
2,3/4,1/3,0,-25/96,-5/48,-5/32
2,3/4,1/3,1,-11/24,-1/2,1/24
2,3/4,1/2,0,-5/32,-1/16,-3/32
2,3/4,1/2,1,-5/16,-3/8,1/16
2,3/4,2/3,0,-5/96,-1/48,-1/32
2,3/4,2/3,1,-1/6,-1/4,1/12
2,3/4,3/4,0,0,0,0
2,3/4,3/4,1,-3/32,-3/16,3/32
2,3/4,5/6,0,5/96,1/48,1/32
2,3/4,5/6,1,-1/48,-1/8,5/48
2,5/6,1/3,0,-7/24,-1/12,-5/24
2,5/6,1/3,1,-19/36,-5/9,1/36
2,5/6,1/2,0,-7/36,-1/18,-5/36
2,5/6,1/2,1,-3/8,-5/12,1/24
2,5/6,2/3,0,-7/72,-1/36,-5/72
2,5/6,2/3,1,-2/9,-5/18,1/18
2,5/6,3/4,0,-7/144,-1/72,-5/144
2,5/6,3/4,1,-7/48,-5/24,1/16
2,5/6,5/6,0,0,0,0
2,5/6,5/6,1,-5/72,-5/36,5/72
3,1/3,1/3,0,0,0,0
3,1/3,1/3,1,-7/81,-4/27,5/81
3,1/3,1/3,2,-4/27,-2/9,2/27
3,1/3,1/2,0,19/162,2/27,7/162
3,1/3,1/2,1,1/108,-1/9,13/108
3,1/3,1/2,2,-1/18,-1/6,1/9
3,1/3,2/3,0,19/81,4/27,7/81
3,1/3,2/3,1,17/162,-2/27,29/162
3,1/3,2/3,2,1/27,-1/9,4/27
3,1/3,3/4,0,95/324,5/27,35/324
3,1/3,3/4,1,11/72,-1/18,5/24
3,1/3,3/4,2,1/12,-1/12,1/6
3,1/3,5/6,0,19/54,2/9,7/54
3,1/3,5/6,1,65/324,-1/27,77/324
3,1/3,5/6,2,7/54,-1/18,5/27
3,1/2,1/3,0,-7/72,-1/24,-1/18
3,1/2,1/3,1,-13/72,-1/6,-1/72
3,1/2,1/3,2,-5/18,-1/3,1/18
3,1/2,1/2,0,0,0,0
3,1/2,1/2,1,-1/12,-1/8,1/24
3,1/2,1/2,2,-1/6,-1/4,1/12
3,1/2,2/3,0,7/72,1/24,1/18
3,1/2,2/3,1,1/72,-1/12,7/72
3,1/2,2/3,2,-1/18,-1/6,1/9
3,1/2,3/4,0,7/48,1/16,1/12
3,1/2,3/4,1,1/16,-1/16,1/8
3,1/2,3/4,2,0,-1/8,1/8
3,1/2,5/6,0,7/36,1/12,1/9
3,1/2,5/6,1,1/9,-1/24,11/72
3,1/2,5/6,2,1/18,-1/12,5/36
3,2/3,1/3,0,-13/81,-1/27,-10/81
3,2/3,1/3,1,-41/162,-4/27,-17/162
3,2/3,1/3,2,-11/27,-4/9,1/27
3,2/3,1/2,0,-13/162,-1/54,-5/81
3,2/3,1/2,1,-17/108,-1/9,-5/108
3,2/3,1/2,2,-5/18,-1/3,1/18
3,2/3,2/3,0,0,0,0
3,2/3,2/3,1,-5/81,-2/27,1/81
3,2/3,2/3,2,-4/27,-2/9,2/27
3,2/3,3/4,0,13/324,1/108,5/162
3,2/3,3/4,1,-1/72,-1/18,1/24
3,2/3,3/4,2,-1/12,-1/6,1/12
3,2/3,5/6,0,13/162,1/54,5/81
3,2/3,5/6,1,11/324,-1/27,23/324
3,2/3,5/6,2,-1/54,-1/9,5/54
3,3/4,1/3,0,-35/192,-5/192,-5/32
3,3/4,1/3,1,-9/32,-1/8,-5/32
3,3/4,1/3,2,-17/36,-1/2,1/36
3,3/4,1/2,0,-7/64,-1/64,-3/32
3,3/4,1/2,1,-3/16,-3/32,-3/32
3,3/4,1/2,2,-1/3,-3/8,1/24
3,3/4,2/3,0,-7/192,-1/192,-1/32
3,3/4,2/3,1,-3/32,-1/16,-1/32
3,3/4,2/3,2,-7/36,-1/4,1/18
3,3/4,3/4,0,0,0,0
3,3/4,3/4,1,-3/64,-3/64,0
3,3/4,3/4,2,-1/8,-3/16,1/16
3,3/4,5/6,0,7/192,1/192,1/32
3,3/4,5/6,1,0,-1/32,1/32
3,3/4,5/6,2,-1/18,-1/8,5/72
3,5/6,1/3,0,-43/216,-1/72,-5/27
3,5/6,1/3,1,-197/648,-5/54,-137/648
3,5/6,1/3,2,-29/54,-5/9,1/54
3,5/6,1/2,0,-43/324,-1/108,-10/81
3,5/6,1/2,1,-23/108,-5/72,-31/216
3,5/6,1/2,2,-7/18,-5/12,1/36
3,5/6,2/3,0,-43/648,-1/216,-5/81
3,5/6,2/3,1,-79/648,-5/108,-49/648
3,5/6,2/3,2,-13/54,-5/18,1/27
3,5/6,3/4,0,-43/1296,-1/432,-5/162
3,5/6,3/4,1,-11/144,-5/144,-1/24
3,5/6,3/4,2,-1/6,-5/24,1/24
3,5/6,5/6,0,0,0,0
3,5/6,5/6,1,-5/162,-5/216,-5/648
3,5/6,5/6,2,-5/54,-5/36,5/108
4,1/3,1/3,0,0,0,0
4,1/3,1/3,1,-11/162,-8/81,5/162
4,1/3,1/3,2,-19/162,-4/27,5/162
4,1/3,1/3,3,-1/6,-2/9,1/18
4,1/3,1/2,0,65/648,4/81,11/216
4,1/3,1/2,1,5/324,-2/27,29/324
4,1/3,1/2,2,-1/27,-1/9,2/27
4,1/3,1/2,3,-1/12,-1/6,1/12
4,1/3,2/3,0,65/324,8/81,11/108
4,1/3,2/3,1,8/81,-4/81,4/27
4,1/3,2/3,2,7/162,-2/27,19/162
4,1/3,2/3,3,0,-1/9,1/9
4,1/3,3/4,0,325/1296,10/81,55/432
4,1/3,3/4,1,91/648,-1/27,115/648
4,1/3,3/4,2,1/12,-1/18,5/36
4,1/3,3/4,3,1/24,-1/12,1/8
4,1/3,5/6,0,65/216,4/27,11/72
4,1/3,5/6,1,59/324,-2/81,67/324
4,1/3,5/6,2,10/81,-1/27,13/81
4,1/3,5/6,3,1/12,-1/18,5/36
4,1/2,1/3,0,-5/64,-1/48,-11/192
4,1/2,1/3,1,-13/96,-1/12,-5/96
4,1/2,1/3,2,-29/144,-1/6,-5/144
4,1/2,1/3,3,-7/24,-1/3,1/24
4,1/2,1/2,0,0,0,0
4,1/2,1/2,1,-11/192,-1/16,1/192
4,1/2,1/2,2,-11/96,-1/8,1/96
4,1/2,1/2,3,-3/16,-1/4,1/16
4,1/2,2/3,0,5/64,1/48,11/192
4,1/2,2/3,1,1/48,-1/24,1/16
4,1/2,2/3,2,-1/36,-1/12,1/18
4,1/2,2/3,3,-1/12,-1/6,1/12
4,1/2,3/4,0,15/128,1/32,11/128
4,1/2,3/4,1,23/384,-1/32,35/384
4,1/2,3/4,2,1/64,-1/16,5/64
4,1/2,3/4,3,-1/32,-1/8,3/32
4,1/2,5/6,0,5/32,1/24,11/96
4,1/2,5/6,1,19/192,-1/48,23/192
4,1/2,5/6,2,17/288,-1/24,29/288
4,1/2,5/6,3,1/48,-1/12,5/48
4,2/3,1/3,0,-10/81,-1/81,-1/9
4,2/3,1/3,1,-29/162,-4/81,-7/54
4,2/3,1/3,2,-43/162,-4/27,-19/162
4,2/3,1/3,3,-5/12,-4/9,1/36
4,2/3,1/2,0,-5/81,-1/162,-1/18
4,2/3,1/2,1,-35/324,-1/27,-23/324
4,2/3,1/2,2,-19/108,-1/9,-7/108
4,2/3,1/2,3,-7/24,-1/3,1/24
4,2/3,2/3,0,0,0,0
4,2/3,2/3,1,-1/27,-2/81,-1/81
4,2/3,2/3,2,-7/81,-2/27,-1/81
4,2/3,2/3,3,-1/6,-2/9,1/18
4,2/3,3/4,0,5/162,1/324,1/36
4,2/3,3/4,1,-1/648,-1/54,11/648
4,2/3,3/4,2,-1/24,-1/18,1/72
4,2/3,3/4,3,-5/48,-1/6,1/16
4,2/3,5/6,0,5/81,1/162,1/18
4,2/3,5/6,1,11/324,-1/81,5/108
4,2/3,5/6,2,1/324,-1/27,13/324
4,2/3,5/6,3,-1/24,-1/9,5/72
4,3/4,1/3,0,-425/3072,-5/768,-135/1024
4,3/4,1/3,1,-149/768,-1/32,-125/768
4,3/4,1/3,2,-167/576,-1/8,-95/576
4,3/4,1/3,3,-23/48,-1/2,1/48
4,3/4,1/2,0,-85/1024,-1/256,-81/1024
4,3/4,1/2,1,-65/512,-3/128,-53/512
4,3/4,1/2,2,-77/384,-3/32,-41/384
4,3/4,1/2,3,-11/32,-3/8,1/32
4,3/4,2/3,0,-85/3072,-1/768,-27/1024
4,3/4,2/3,1,-23/384,-1/64,-17/384
4,3/4,2/3,2,-1/9,-1/16,-7/144
4,3/4,2/3,3,-5/24,-1/4,1/24
4,3/4,3/4,0,0,0,0
4,3/4,3/4,1,-27/1024,-3/256,-15/1024
4,3/4,3/4,2,-17/256,-3/64,-5/256
4,3/4,3/4,3,-9/64,-3/16,3/64
4,3/4,5/6,0,85/3072,1/768,27/1024
4,3/4,5/6,1,11/1536,-1/128,23/1536
4,3/4,5/6,2,-25/1152,-1/32,11/1152
4,3/4,5/6,3,-7/96,-1/8,5/96
4,5/6,1/3,0,-259/1728,-1/432,-85/576
4,5/6,1/3,1,-533/2592,-5/324,-493/2592
4,5/6,1/3,2,-401/1296,-5/54,-281/1296
4,5/6,1/3,3,-13/24,-5/9,1/72
4,5/6,1/2,0,-259/2592,-1/648,-85/864
4,5/6,1/2,1,-739/5184,-5/432,-679/5184
4,5/6,1/2,2,-191/864,-5/72,-131/864
4,5/6,1/2,3,-19/48,-5/12,1/48
4,5/6,2/3,0,-259/5184,-1/1296,-85/1728
4,5/6,2/3,1,-103/1296,-5/648,-31/432
4,5/6,2/3,2,-43/324,-5/108,-7/81
4,5/6,2/3,3,-1/4,-5/18,1/36
4,5/6,3/4,0,-259/10368,-1/2592,-85/3456
4,5/6,3/4,1,-497/10368,-5/864,-437/10368
4,5/6,3/4,2,-17/192,-5/144,-31/576
4,5/6,3/4,3,-17/96,-5/24,1/32
4,5/6,5/6,0,0,0,0
4,5/6,5/6,1,-85/5184,-5/1296,-65/5184
4,5/6,5/6,2,-115/2592,-5/216,-55/2592
4,5/6,5/6,3,-5/48,-5/36,5/144
5,1/3,1/3,0,0,0,0
5,1/3,1/3,1,-131/2430,-16/243,29/2430
5,1/3,1/3,2,-38/405,-8/81,2/405
5,1/3,1/3,3,-2/15,-4/27,2/135
