agents,private_accuracy,shared_accuracy,audience,discovery,action_quality,expected_distinct_actions,information_access_count,effective_action_channels,socially_optimal
2,1/3,1/3,0,5/9,1/3,5/3,0,2,True
2,1/3,1/3,1,5/9,1/3,5/3,1,2,True
2,1/3,1/3,2,1/3,1/3,1,2,1,False
2,1/3,1/2,0,5/9,1/3,5/3,0,2,False
2,1/3,1/2,1,2/3,5/12,5/3,1,2,True
2,1/3,1/2,2,1/2,1/2,1,2,1,False
2,1/3,2/3,0,5/9,1/3,5/3,0,2,False
2,1/3,2/3,1,7/9,1/2,5/3,1,2,True
2,1/3,2/3,2,2/3,2/3,1,2,1,False
2,1/3,3/4,0,5/9,1/3,5/3,0,2,False
2,1/3,3/4,1,5/6,13/24,5/3,1,2,True
2,1/3,3/4,2,3/4,3/4,1,2,1,False
2,1/3,5/6,0,5/9,1/3,5/3,0,2,False
2,1/3,5/6,1,8/9,7/12,5/3,1,2,True
2,1/3,5/6,2,5/6,5/6,1,2,1,False
2,1/2,1/3,0,3/4,1/2,13/8,0,2,True
2,1/2,1/3,1,2/3,5/12,5/3,1,2,False
2,1/2,1/3,2,1/3,1/3,1,2,1,False
2,1/2,1/2,0,3/4,1/2,13/8,0,2,True
2,1/2,1/2,1,3/4,1/2,13/8,1,2,True
2,1/2,1/2,2,1/2,1/2,1,2,1,False
2,1/2,2/3,0,3/4,1/2,13/8,0,2,False
2,1/2,2/3,1,5/6,7/12,19/12,1,2,True
2,1/2,2/3,2,2/3,2/3,1,2,1,False
2,1/2,3/4,0,3/4,1/2,13/8,0,2,False
2,1/2,3/4,1,7/8,5/8,25/16,1,2,True
2,1/2,3/4,2,3/4,3/4,1,2,1,False
2,1/2,5/6,0,3/4,1/2,13/8,0,2,False
2,1/2,5/6,1,11/12,2/3,37/24,1,2,True
2,1/2,5/6,2,5/6,5/6,1,2,1,False
2,2/3,1/3,0,8/9,2/3,3/2,0,2,True
2,2/3,1/3,1,7/9,1/2,5/3,1,2,False
2,2/3,1/3,2,1/3,1/3,1,2,1,False
2,2/3,1/2,0,8/9,2/3,3/2,0,2,True
2,2/3,1/2,1,5/6,7/12,19/12,1,2,False
2,2/3,1/2,2,1/2,1/2,1,2,1,False
2,2/3,2/3,0,8/9,2/3,3/2,0,2,True
2,2/3,2/3,1,8/9,2/3,3/2,1,2,True
2,2/3,2/3,2,2/3,2/3,1,2,1,False
2,2/3,3/4,0,8/9,2/3,3/2,0,2,False
2,2/3,3/4,1,11/12,17/24,35/24,1,2,True
2,2/3,3/4,2,3/4,3/4,1,2,1,False
2,2/3,5/6,0,8/9,2/3,3/2,0,2,False
2,2/3,5/6,1,17/18,3/4,17/12,1,2,True
2,2/3,5/6,2,5/6,5/6,1,2,1,False
2,3/4,1/3,0,15/16,3/4,45/32,0,2,True
2,3/4,1/3,1,5/6,13/24,5/3,1,2,False
2,3/4,1/3,2,1/3,1/3,1,2,1,False
2,3/4,1/2,0,15/16,3/4,45/32,0,2,True
2,3/4,1/2,1,7/8,5/8,25/16,1,2,False
2,3/4,1/2,2,1/2,1/2,1,2,1,False
2,3/4,2/3,0,15/16,3/4,45/32,0,2,True
2,3/4,2/3,1,11/12,17/24,35/24,1,2,False
2,3/4,2/3,2,2/3,2/3,1,2,1,False
2,3/4,3/4,0,15/16,3/4,45/32,0,2,True
2,3/4,3/4,1,15/16,3/4,45/32,1,2,True
2,3/4,3/4,2,3/4,3/4,1,2,1,False
2,3/4,5/6,0,15/16,3/4,45/32,0,2,False
2,3/4,5/6,1,23/24,19/24,65/48,1,2,True
2,3/4,5/6,2,5/6,5/6,1,2,1,False
2,5/6,1/3,0,35/36,5/6,31/24,0,2,True
2,5/6,1/3,1,8/9,7/12,5/3,1,2,False
2,5/6,1/3,2,1/3,1/3,1,2,1,False
2,5/6,1/2,0,35/36,5/6,31/24,0,2,True
2,5/6,1/2,1,11/12,2/3,37/24,1,2,False
2,5/6,1/2,2,1/2,1/2,1,2,1,False
2,5/6,2/3,0,35/36,5/6,31/24,0,2,True
2,5/6,2/3,1,17/18,3/4,17/12,1,2,False
2,5/6,2/3,2,2/3,2/3,1,2,1,False
2,5/6,3/4,0,35/36,5/6,31/24,0,2,True
2,5/6,3/4,1,23/24,19/24,65/48,1,2,False
2,5/6,3/4,2,3/4,3/4,1,2,1,False
2,5/6,5/6,0,35/36,5/6,31/24,0,2,True
2,5/6,5/6,1,35/36,5/6,31/24,1,2,True
2,5/6,5/6,2,5/6,5/6,1,2,1,False
3,1/3,1/3,0,19/27,1/3,19/9,0,3,True
3,1/3,1/3,1,19/27,1/3,19/9,1,3,True
3,1/3,1/3,2,5/9,1/3,5/3,2,2,False
3,1/3,1/3,3,1/3,1/3,1,3,1,False
3,1/3,1/2,0,19/27,1/3,19/9,0,3,False
3,1/3,1/2,1,7/9,7/18,19/9,1,3,True
3,1/3,1/2,2,2/3,4/9,5/3,2,2,False
3,1/3,1/2,3,1/2,1/2,1,3,1,False
3,1/3,2/3,0,19/27,1/3,19/9,0,3,False
3,1/3,2/3,1,23/27,4/9,19/9,1,3,True
3,1/3,2/3,2,7/9,5/9,5/3,2,2,False
3,1/3,2/3,3,2/3,2/3,1,3,1,False
3,1/3,3/4,0,19/27,1/3,19/9,0,3,False
3,1/3,3/4,1,8/9,17/36,19/9,1,3,True
3,1/3,3/4,2,5/6,11/18,5/3,2,2,False
3,1/3,3/4,3,3/4,3/4,1,3,1,False
3,1/3,5/6,0,19/27,1/3,19/9,0,3,False
3,1/3,5/6,1,25/27,1/2,19/9,1,3,True
3,1/3,5/6,2,8/9,2/3,5/3,2,2,False
3,1/3,5/6,3,5/6,5/6,1,3,1,False
3,1/2,1/3,0,7/8,1/2,65/32,0,3,True
3,1/2,1/3,1,5/6,4/9,25/12,1,3,False
3,1/2,1/3,2,2/3,7/18,5/3,2,2,False
3,1/2,1/3,3,1/3,1/3,1,3,1,False
3,1/2,1/2,0,7/8,1/2,65/32,0,3,True
3,1/2,1/2,1,7/8,1/2,65/32,1,3,True
3,1/2,1/2,2,3/4,1/2,13/8,2,2,False
3,1/2,1/2,3,1/2,1/2,1,3,1,False
3,1/2,2/3,0,7/8,1/2,65/32,0,3,False
3,1/2,2/3,1,11/12,5/9,95/48,1,3,True
3,1/2,2/3,2,5/6,11/18,19/12,2,2,False
3,1/2,2/3,3,2/3,2/3,1,3,1,False
3,1/2,3/4,0,7/8,1/2,65/32,0,3,False
3,1/2,3/4,1,15/16,7/12,125/64,1,3,True
3,1/2,3/4,2,7/8,2/3,25/16,2,2,False
3,1/2,3/4,3,3/4,3/4,1,3,1,False
3,1/2,5/6,0,7/8,1/2,65/32,0,3,False
3,1/2,5/6,1,23/24,11/18,185/96,1,3,True
3,1/2,5/6,2,11/12,13/18,37/24,2,2,False
3,1/2,5/6,3,5/6,5/6,1,3,1,False
3,2/3,1/3,0,26/27,2/3,65/36,0,3,True
3,2/3,1/3,1,25/27,5/9,2,1,3,False
3,2/3,1/3,2,7/9,4/9,5/3,2,2,False
3,2/3,1/3,3,1/3,1/3,1,3,1,False
3,2/3,1/2,0,26/27,2/3,65/36,0,3,True
3,2/3,1/2,1,17/18,11/18,137/72,1,3,False
3,2/3,1/2,2,5/6,5/9,19/12,2,2,False
3,2/3,1/2,3,1/2,1/2,1,3,1,False
3,2/3,2/3,0,26/27,2/3,65/36,0,3,True
3,2/3,2/3,1,26/27,2/3,65/36,1,3,True
3,2/3,2/3,2,8/9,2/3,3/2,2,2,False
3,2/3,2/3,3,2/3,2/3,1,3,1,False
3,2/3,3/4,0,26/27,2/3,65/36,0,3,False
3,2/3,3/4,1,35/36,25/36,253/144,1,3,True
3,2/3,3/4,2,11/12,13/18,35/24,2,2,False
3,2/3,3/4,3,3/4,3/4,1,3,1,False
3,2/3,5/6,0,26/27,2/3,65/36,0,3,False
3,2/3,5/6,1,53/54,13/18,41/24,1,3,True
3,2/3,5/6,2,17/18,7/9,17/12,2,2,False
3,2/3,5/6,3,5/6,5/6,1,3,1,False
3,3/4,1/3,0,63/64,3/4,421/256,0,3,True
3,3/4,1/3,1,23/24,11/18,31/16,1,3,False
3,3/4,1/3,2,5/6,17/36,5/3,2,2,False
3,3/4,1/3,3,1/3,1/3,1,3,1,False
3,3/4,1/2,0,63/64,3/4,421/256,0,3,True
3,3/4,1/2,1,31/32,2/3,233/128,1,3,False
3,3/4,1/2,2,7/8,7/12,25/16,2,2,False
3,3/4,1/2,3,1/2,1/2,1,3,1,False
3,3/4,2/3,0,63/64,3/4,421/256,0,3,True
3,3/4,2/3,1,47/48,13/18,109/64,1,3,False
3,3/4,2/3,2,11/12,25/36,35/24,2,2,False
3,3/4,2/3,3,2/3,2/3,1,3,1,False
3,3/4,3/4,0,63/64,3/4,421/256,0,3,True
3,3/4,3/4,1,63/64,3/4,421/256,1,3,True
3,3/4,3/4,2,15/16,3/4,45/32,2,2,False
3,3/4,3/4,3,3/4,3/4,1,3,1,False
3,3/4,5/6,0,63/64,3/4,421/256,0,3,False
3,3/4,5/6,1,95/96,7/9,203/128,1,3,True
3,3/4,5/6,2,23/24,29/36,65/48,2,2,False
3,3/4,5/6,3,5/6,5/6,1,3,1,False
3,5/6,1/3,0,215/216,5/6,419/288,0,3,True
3,5/6,1/3,1,53/54,2/3,67/36,1,3,False
3,5/6,1/3,2,8/9,1/2,5/3,2,2,False
3,5/6,1/3,3,1/3,1/3,1,3,1,False
3,5/6,1/2,0,215/216,5/6,419/288,0,3,True
3,5/6,1/2,1,71/72,13/18,497/288,1,3,False
3,5/6,1/2,2,11/12,11/18,37/24,2,2,False
3,5/6,1/2,3,1/2,1/2,1,3,1,False
3,5/6,2/3,0,215/216,5/6,419/288,0,3,True
3,5/6,2/3,1,107/108,7/9,229/144,1,3,False
3,5/6,2/3,2,17/18,13/18,17/12,2,2,False
3,5/6,2/3,3,2/3,2/3,1,3,1,False
