agents,private_accuracy,shared_accuracy,private_dominant,public_dominant,contrarian,discovery,action_quality,expected_distinct_actions,weak_equilibrium,strict_equilibrium,planner_optimal
2,1/3,1/3,0,0,2,5/9,1/3,5/3,True,False,True
2,1/3,1/3,0,1,1,5/9,1/3,5/3,True,False,True
2,1/3,1/3,0,2,0,1/3,1/3,1,False,False,False
2,1/3,1/3,1,0,1,5/9,1/3,5/3,True,False,True
2,1/3,1/3,1,1,0,5/9,1/3,5/3,True,False,True
2,1/3,1/3,2,0,0,5/9,1/3,5/3,True,False,True
2,1/3,1/2,0,0,2,5/9,1/3,5/3,False,False,False
2,1/3,1/2,0,1,1,2/3,5/12,5/3,True,False,True
2,1/3,1/2,0,2,0,1/2,1/2,1,True,False,False
2,1/3,1/2,1,0,1,5/9,1/3,5/3,False,False,False
2,1/3,1/2,1,1,0,2/3,5/12,5/3,True,False,True
2,1/3,1/2,2,0,0,5/9,1/3,5/3,False,False,False
2,1/3,2/3,0,0,2,5/9,1/3,5/3,False,False,False
2,1/3,2/3,0,1,1,7/9,1/2,5/3,False,False,True
2,1/3,2/3,0,2,0,2/3,2/3,1,True,True,False
2,1/3,2/3,1,0,1,5/9,1/3,5/3,False,False,False
2,1/3,2/3,1,1,0,7/9,1/2,5/3,False,False,True
2,1/3,2/3,2,0,0,5/9,1/3,5/3,False,False,False
2,1/3,3/4,0,0,2,5/9,1/3,5/3,False,False,False
2,1/3,3/4,0,1,1,5/6,13/24,5/3,False,False,True
2,1/3,3/4,0,2,0,3/4,3/4,1,True,True,False
2,1/3,3/4,1,0,1,5/9,1/3,5/3,False,False,False
2,1/3,3/4,1,1,0,5/6,13/24,5/3,False,False,True
2,1/3,3/4,2,0,0,5/9,1/3,5/3,False,False,False
2,1/3,5/6,0,0,2,5/9,1/3,5/3,False,False,False
2,1/3,5/6,0,1,1,8/9,7/12,5/3,False,False,True
2,1/3,5/6,0,2,0,5/6,5/6,1,True,True,False
2,1/3,5/6,1,0,1,5/9,1/3,5/3,False,False,False
2,1/3,5/6,1,1,0,8/9,7/12,5/3,False,False,True
2,1/3,5/6,2,0,0,5/9,1/3,5/3,False,False,False
2,1/2,1/3,0,0,2,13/24,1/3,13/8,False,False,False
2,1/2,1/3,0,1,1,1/2,1/3,5/3,False,False,False
2,1/2,1/3,0,2,0,1/3,1/3,1,False,False,False
2,1/2,1/3,1,0,1,2/3,5/12,5/3,False,False,False
2,1/2,1/3,1,1,0,2/3,5/12,5/3,False,False,False
2,1/2,1/3,2,0,0,3/4,1/2,13/8,True,True,True
2,1/2,1/2,0,0,2,19/32,3/8,13/8,False,False,False
2,1/2,1/2,0,1,1,5/8,7/16,13/8,False,False,False
2,1/2,1/2,0,2,0,1/2,1/2,1,False,False,False
2,1/2,1/2,1,0,1,11/16,7/16,53/32,False,False,False
2,1/2,1/2,1,1,0,3/4,1/2,13/8,True,False,True
2,1/2,1/2,2,0,0,3/4,1/2,13/8,True,False,True
2,1/2,2/3,0,0,2,31/48,5/12,13/8,False,False,False
2,1/2,2/3,0,1,1,3/4,13/24,19/12,False,False,False
2,1/2,2/3,0,2,0,2/3,2/3,1,True,False,False
2,1/2,2/3,1,0,1,17/24,11/24,79/48,False,False,False
2,1/2,2/3,1,1,0,5/6,7/12,19/12,True,False,True
2,1/2,2/3,2,0,0,3/4,1/2,13/8,False,False,False
2,1/2,3/4,0,0,2,43/64,7/16,13/8,False,False,False
2,1/2,3/4,0,1,1,13/16,19/32,25/16,False,False,False
2,1/2,3/4,0,2,0,3/4,3/4,1,True,True,False
2,1/2,3/4,1,0,1,23/32,15/32,105/64,False,False,False
2,1/2,3/4,1,1,0,7/8,5/8,25/16,False,False,True
2,1/2,3/4,2,0,0,3/4,1/2,13/8,False,False,False
